MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,75.8135,80.0,59.0,96.0,25.9266,174384
SSEBOP,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,22.1497,21.0,17.0,28.0,8.7498,174383
SSEBOP,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
SSEBOP,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
SSEBOP,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,38.6645,41.0,32.0,47.0,11.2857,149040
SSEBOP,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,85.9737,92.0,70.0,107.0,27.1283,173318
SSEBOP,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,89.4241,96.0,76.0,109.0,26.3989,174417
SSEBOP,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,113.2956,122.0,97.0,139.0,33.7447,174418
SSEBOP,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,130.4302,141.0,109.0,163.0,41.8634,174400
SSEBOP,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,141.65,151.0,110.0,181.0,49.6016,173616
SSEBOP,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,116.3599,124.0,91.0,147.0,39.0663,174418
SSEBOP,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,86.7895,91.0,70.0,107.0,27.0971,174418
SSEBOP,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,53.4095,56.0,44.0,65.0,15.0632,174383
SSEBOP,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36.7046,38.0,30.0,44.0,10.3135,174376
SSEBOP,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,29.2868,30.0,23.0,36.0,8.6661,173680
SSEBOP,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35.0112,36.0,29.0,42.0,10.4122,174397
SSEBOP,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,45.4347,48.0,37.0,56.0,14.2545,174414
SSEBOP,2005-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,70.0157,74.0,57.0,87.0,23.1895,168639
SSEBOP,2005-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,77.4664,85.0,66.0,96.0,23.7161,174151
SSEBOP,2005-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,100.4957,109.0,86.0,123.0,29.7425,174418
SSEBOP,2005-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,113.2817,121.0,97.0,137.0,32.2565,174415
SSEBOP,2005-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,159.8025,170.0,133.0,197.0,48.9945,174338
SSEBOP,2005-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,132.924,140.0,106.0,167.0,43.4849,174328
SSEBOP,2005-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,91.9921,97.0,71.0,117.0,30.7354,174403
SSEBOP,2005-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,58.1494,60.0,47.0,71.0,17.2274,174288
SSEBOP,2005-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,27.5647,29.0,23.0,33.0,7.3311,174416
SSEBOP,2005-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,23.0276,24.0,18.0,29.0,6.8907,50202
SSEBOP,2006-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,25.4245,26.0,22.0,30.0,6.2368,46182
SSEBOP,2006-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,53.8631,55.0,44.0,66.0,17.1243,174415
SSEBOP,2006-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,49.4228,51.0,40.0,61.0,15.6609,174417
SSEBOP,2006-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,92.3767,98.0,77.0,113.0,28.2941,174416
SSEBOP,2006-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,130.9066,139.0,109.0,161.0,40.8604,174416
SSEBOP,2006-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,150.9321,163.0,129.0,184.0,44.343,174346
SSEBOP,2006-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,153.5709,165.0,127.0,192.0,49.1681,174410
SSEBOP,2006-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,141.6093,153.0,111.0,181.0,48.4928,174418
SSEBOP,2006-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,111.5876,120.0,85.0,143.0,39.1821,174288
SSEBOP,2006-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,75.7752,80.0,58.0,96.0,25.2393,174409
SSEBOP,2006-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,37.0924,38.0,30.0,47.0,11.3247,173927
SSEBOP,2006-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,37.4799,39.0,30.0,46.0,11.0004,174050
SSEBOP,2007-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35.9462,37.0,28.0,44.0,12.9318,174379
SSEBOP,2007-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,30.6261,32.0,24.0,38.0,10.2123,174405
SSEBOP,2007-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,82.3225,87.0,67.0,103.0,25.6211,174390
SSEBOP,2007-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,90.5998,96.0,76.0,111.0,28.3518,174417
SSEBOP,2007-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,131.3696,141.0,111.0,162.0,40.2891,173845
SSEBOP,2007-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,144.2944,154.0,122.0,178.0,44.7254,174343
SSEBOP,2007-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,144.6545,154.0,120.0,180.0,46.1551,169653
SSEBOP,2007-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,144.9317,158.0,114.0,185.0,48.5381,171831
SSEBOP,2007-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,99.1473,106.0,78.0,124.0,32.0944,174414
SSEBOP,2007-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,56.8429,60.0,43.0,72.0,18.9698,150585
SSEBOP,2007-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
SSEBOP,2007-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
SSEBOP,2008-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,27.2472,27.0,22.0,33.0,9.55,146387
SSEBOP,2008-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,39.2196,41.0,31.0,49.0,12.5745,174163
SSEBOP,2008-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,59.5283,62.0,48.0,73.0,19.6268,174416
SSEBOP,2008-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,90.7229,95.0,74.0,111.0,29.2174,174418
SSEBOP,2008-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,120.0512,127.0,98.0,150.0,40.0154,174409
SSEBOP,2008-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,143.9365,154.0,118.0,182.0,47.4526,174408
SSEBOP,2008-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,152.2554,167.0,115.0,201.0,57.1104,173878
SSEBOP,2008-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,132.9403,146.0,101.0,172.0,48.3263,160470
SSEBOP,2008-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,103.6599,111.0,82.0,129.0,34.2302,174408
SSEBOP,2008-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,76.7838,80.0,64.0,93.0,22.3357,174384
SSEBOP,2008-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,34.5395,36.0,26.0,44.0,12.3601,151466
SSEBOP,2008-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,33.9776,35.0,28.0,41.0,10.0156,151433
SSEBOP,2009-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,44.6942,46.0,37.0,54.0,13.8979,174322
SSEBOP,2009-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,45.7487,48.0,37.0,56.0,13.9708,174319
SSEBOP,2009-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,60.8398,64.0,50.0,74.0,18.955,174416
SSEBOP,2009-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,97.1914,103.0,81.0,118.0,30.4569,174403
SSEBOP,2009-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,135.1211,144.0,115.0,164.0,40.3522,174368
SSEBOP,2009-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,139.7963,150.0,119.0,169.0,40.9314,174406
SSEBOP,2009-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,155.1356,164.0,123.0,198.0,52.2735,174415
SSEBOP,2009-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,133.2751,142.0,104.0,170.0,45.5472,171776
SSEBOP,2009-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,104.8791,111.0,83.0,131.0,34.74,173895
SSEBOP,2009-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,61.8374,65.0,50.0,75.0,18.3152,173728
SSEBOP,2009-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,43.2241,45.0,36.0,52.0,11.7255,174264
