MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2021-01-01,California Islands,0,21.9826,16,11,35,13.9627,115
DISALEXI,2021-01-01,Central Coast,3,16.2637,16,10,22,8.4884,2702606
DISALEXI,2021-01-01,Colorado River,10,29.2325,32,17,41,14.5462,2557146
DISALEXI,2021-01-01,North Coast,1,14.603,14,9,20,7.5887,1755710
DISALEXI,2021-01-01,North Lahontan,8,16.0054,16,11,21,6.9243,730397
DISALEXI,2021-01-01,Sacramento River,5,18.4042,18,14,23,6.9077,8665707
DISALEXI,2021-01-01,San Francisco Bay,2,17.6366,18,14,22,6.7653,579557
DISALEXI,2021-01-01,San Joaquin River,6,23.5653,24,18,30,8.4474,9294418
DISALEXI,2021-01-01,South Coast,4,19.6889,19,9,28,12.3828,929477
DISALEXI,2021-01-01,South Lahontan,9,13.1091,11,5,19,10.1522,329028
DISALEXI,2021-01-01,Tulare Lake,7,22.8264,22,14,32,11.1916,14206611
