MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2014-03-01,California Islands,0,52.6348,53,46,60,9.6245,115
EEMETRIC,2014-03-01,Central Coast,3,42.1565,40,25,57,23.1226,2730546
EEMETRIC,2014-03-01,Colorado River,10,98.5464,108,57,139,48.8443,2621250
EEMETRIC,2014-03-01,North Coast,1,42.1684,40,24,60,23.6824,1890918
EEMETRIC,2014-03-01,North Lahontan,8,37.1934,36,22,50,20.8585,763195
EEMETRIC,2014-03-01,Sacramento River,5,49.7346,48,31,68,24.3671,9992390
EEMETRIC,2014-03-01,San Francisco Bay,2,36.594,33,18,54,22.8713,596707
EEMETRIC,2014-03-01,San Joaquin River,6,58.7753,56,37,79,27.3724,9304893
EEMETRIC,2014-03-01,South Coast,4,70.5867,71,51,89,26.6409,941726
EEMETRIC,2014-03-01,South Lahontan,9,59.4302,48,25,82,45.3322,335868
EEMETRIC,2014-03-01,Tulare Lake,7,62.1266,57,35,86,34.8455,14178776
