MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2024-02-01,California Islands,0,47.4261,48,44,51,4.7127,115
ENSEMBLE,2024-02-01,Central Coast,3,35.2593,35,31,40,8.1946,2731061
ENSEMBLE,2024-02-01,Colorado River,10,54.264,57,38,71,19.7713,2621250
ENSEMBLE,2024-02-01,North Coast,1,27.9595,27,22,34,10.2451,1901208
ENSEMBLE,2024-02-01,North Lahontan,8,24.794,24,21,28,6.3867,712404
ENSEMBLE,2024-02-01,Sacramento River,5,34.4594,34,28,40,8.5926,9916988
ENSEMBLE,2024-02-01,San Francisco Bay,2,32.9619,33,28,37,5.9374,596982
ENSEMBLE,2024-02-01,San Joaquin River,6,39.1796,40,35,44,7.2013,9311281
ENSEMBLE,2024-02-01,South Coast,4,47.9296,48,41,54,10.0173,941852
ENSEMBLE,2024-02-01,South Lahontan,9,31.6453,31,23,40,12.3771,308597
ENSEMBLE,2024-02-01,Tulare Lake,7,40.3515,40,33,49,10.4546,14213600
