MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
FILLED,2008-03-01,California Islands,0,80.8957,82,75,87,8.7788,115
FILLED,2008-03-01,Central Coast,3,53.9592,52,37,70,22.2304,2731126
FILLED,2008-03-01,Colorado River,10,95.9094,109,58,136,47.5045,2621250
FILLED,2008-03-01,North Coast,1,49.4245,48,37,63,17.144,1907809
FILLED,2008-03-01,North Lahontan,8,31.1984,31,21,41,14.5994,763211
FILLED,2008-03-01,Sacramento River,5,57.9292,57,42,74,21.8895,9997270
FILLED,2008-03-01,San Francisco Bay,2,60.2495,61,48,74,18.0561,596995
FILLED,2008-03-01,San Joaquin River,6,69.0447,71,50,89,24.4272,9311817
FILLED,2008-03-01,South Coast,4,75.6595,79,60,94,24.1177,941855
FILLED,2008-03-01,South Lahontan,9,46.453,36,20,62,35.5144,335871
FILLED,2008-03-01,Tulare Lake,7,63.5498,60,38,91,30.9119,14214085
