MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2004-01-01,California Islands,0,29.287,29,18,38,12.7925,115
GEESEBAL,2004-01-01,Central Coast,3,17.1075,18,9,24,9.2692,2715507
GEESEBAL,2004-01-01,Colorado River,10,43.1155,46,33,55,15.3284,2621238
GEESEBAL,2004-01-01,North Coast,1,11.2721,10,2,19,9.9338,1088400
GEESEBAL,2004-01-01,North Lahontan,8,10.2019,9,6,14,6.2008,278217
GEESEBAL,2004-01-01,Sacramento River,5,12.1503,13,8,16,6.0426,3628937
GEESEBAL,2004-01-01,San Francisco Bay,2,9.1622,6,2,15,8.1024,474867
GEESEBAL,2004-01-01,San Joaquin River,6,18.315,18,13,23,7.9647,8745627
GEESEBAL,2004-01-01,South Coast,4,21.3953,22,14,29,10.1603,938058
GEESEBAL,2004-01-01,South Lahontan,9,14.7308,14,8,21,8.9521,305377
GEESEBAL,2004-01-01,Tulare Lake,7,27.0497,28,20,34,9.605,12521127
