MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2009-01-01,California Islands,0,58.1304,58,55,63,6.168,115
PTJPL,2009-01-01,Central Coast,3,28.6906,28,21,35,9.6405,2730782
PTJPL,2009-01-01,Colorado River,10,39.1373,38,25,54,16.4957,2621248
PTJPL,2009-01-01,North Coast,1,28.9554,28,23,33,7.4731,1750808
PTJPL,2009-01-01,North Lahontan,8,17.6913,18,14,21,4.8271,669848
PTJPL,2009-01-01,Sacramento River,5,28.5061,27,24,32,6.8312,9505985
PTJPL,2009-01-01,San Francisco Bay,2,31.0231,31,28,34,4.7011,596782
PTJPL,2009-01-01,San Joaquin River,6,33.189,32,29,36,5.7754,9229826
PTJPL,2009-01-01,South Coast,4,36.5293,38,29,44,9.6499,941815
PTJPL,2009-01-01,South Lahontan,9,25.8516,24,17,33,10.6185,327713
PTJPL,2009-01-01,Tulare Lake,7,29.9307,31,26,35,6.9405,13970162
