MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SIMS,2012-06-01,California Islands,0,39.5217,33.0,25.0,56.0,16.6051,115
SIMS,2012-06-01,Central Coast,3,61.074,56.0,31.0,87.0,38.8379,2670904
SIMS,2012-06-01,Colorado River,10,140.2238,158.5089,50.0,214.505,84.819,2545447
SIMS,2012-06-01,North Coast,1,112.1826,118.0,80.0,147.0,39.5306,1831915
SIMS,2012-06-01,North Lahontan,8,119.2346,131.0,96.0,152.0,42.3858,599585
SIMS,2012-06-01,Sacramento River,5,123.8806,135.0,78.0,170.0,57.6747,9792379
SIMS,2012-06-01,San Francisco Bay,2,71.0564,73.0,51.0,91.0,29.3535,572539
SIMS,2012-06-01,San Joaquin River,6,122.1542,128.4986,66.4933,174.4995,60.2981,9283852
SIMS,2012-06-01,South Coast,4,81.1117,81.0,39.0,119.0,46.7911,820455
SIMS,2012-06-01,South Lahontan,9,116.717,129.0,36.0,180.0,79.8804,279932
SIMS,2012-06-01,Tulare Lake,7,114.7598,120.5053,48.494,176.4908,70.695,14192229
