MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2021-04-01,California Islands,0,7.9217,3.0,2.0,14.0,9.133,115
SSEBOP,2021-04-01,Central Coast,3,58.4601,58.0,34.0,81.0,32.8417,2730046
SSEBOP,2021-04-01,Colorado River,10,114.9627,134.5025,52.4982,172.5006,70.5834,2621250
SSEBOP,2021-04-01,North Coast,1,60.47,64.0,31.0,87.0,36.4905,1907573
SSEBOP,2021-04-01,North Lahontan,8,38.3938,32.0,9.0,62.0,32.7748,762976
SSEBOP,2021-04-01,Sacramento River,5,66.6264,64.0,23.0,105.0,47.3086,9997072
SSEBOP,2021-04-01,San Francisco Bay,2,61.0084,61.0,39.0,82.0,29.2725,596509
SSEBOP,2021-04-01,San Joaquin River,6,83.0179,89.0,39.0,126.0,50.4212,9311810
SSEBOP,2021-04-01,South Coast,4,66.8033,68.0,35.0,95.0,40.2494,941675
SSEBOP,2021-04-01,South Lahontan,9,62.3189,43.0,11.0,100.0,60.6735,335871
SSEBOP,2021-04-01,Tulare Lake,7,66.5293,56.0,7.0,118.0,59.3183,14213280
