MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2025-01-01,California Islands,0,29.4609,26.0,15.0,42.0,18.1411,115
DISALEXI,2025-02-01,California Islands,0,41.8,41.0,32.0,49.0,12.2703,115
DISALEXI,2025-03-01,California Islands,0,67.2609,65.0,52.0,83.0,21.0891,115
DISALEXI,2025-04-01,California Islands,0,109.113,109.0,80.0,133.0,29.9747,115
DISALEXI,2025-05-01,California Islands,0,125.8522,129.0,90.0,159.0,38.9448,115
DISALEXI,2025-06-01,California Islands,0,115.9913,118.0,88.0,138.0,37.7245,115
DISALEXI,2025-07-01,California Islands,0,94.9043,92.0,66.0,119.0,41.6035,115
DISALEXI,2025-08-01,California Islands,0,79.2522,76.0,41.0,105.0,45.6733,115
DISALEXI,2025-09-01,California Islands,0,53.5652,47.0,31.0,67.0,29.0412,115
DISALEXI,2025-10-01,California Islands,0,40.5478,39.0,13.0,60.0,29.1662,115
DISALEXI,2025-11-01,California Islands,0,29.3652,29.0,9.0,48.0,20.2168,115
DISALEXI,2025-12-01,California Islands,0,28.5043,25.0,14.0,41.0,16.4043,115
EEMETRIC,2025-01-01,California Islands,0,22.0261,24.0,15.0,29.0,10.6006,115
EEMETRIC,2025-02-01,California Islands,0,21.287,22.0,13.0,29.0,10.168,115
EEMETRIC,2025-03-01,California Islands,0,38.6609,39.0,24.0,50.0,17.3591,115
EEMETRIC,2025-04-01,California Islands,0,65.5565,64.0,59.0,74.0,8.9406,115
EEMETRIC,2025-05-01,California Islands,0,73.7565,72.0,61.0,88.0,15.7356,115
EEMETRIC,2025-06-01,California Islands,0,48.6522,48.0,41.0,56.0,11.0839,115
EEMETRIC,2025-07-01,California Islands,0,52.4696,52.0,42.0,61.0,13.6982,115
EEMETRIC,2025-08-01,California Islands,0,54.0,54.0,43.0,64.0,14.4583,115
EEMETRIC,2025-09-01,California Islands,0,63.7304,63.0,59.0,68.0,7.5277,115
EEMETRIC,2025-10-01,California Islands,0,37.8783,39.0,26.0,48.0,12.7839,115
EEMETRIC,2025-11-01,California Islands,0,18.4957,19.0,7.0,30.0,11.9676,115
EEMETRIC,2025-12-01,California Islands,0,16.9478,16.0,8.0,24.0,10.8057,115
ENSEMBLE,2025-01-01,California Islands,0,23.9913,24.0,19.0,29.0,7.4232,115
ENSEMBLE,2025-02-01,California Islands,0,29.9565,30.0,26.0,32.0,4.9894,115
ENSEMBLE,2025-03-01,California Islands,0,59.2522,61.0,54.0,65.0,6.5207,115
ENSEMBLE,2025-04-01,California Islands,0,86.1652,86.0,80.0,93.0,8.5495,115
ENSEMBLE,2025-05-01,California Islands,0,90.3043,93.0,81.0,101.0,14.1484,115
ENSEMBLE,2025-06-01,California Islands,0,70.7652,72.0,65.0,79.0,11.8984,115
ENSEMBLE,2025-07-01,California Islands,0,65.7913,69.0,53.0,78.0,18.3968,115
ENSEMBLE,2025-08-01,California Islands,0,64.4435,72.0,38.0,83.0,23.9289,115
ENSEMBLE,2025-09-01,California Islands,0,64.0435,62.0,55.0,68.0,10.907,115
ENSEMBLE,2025-10-01,California Islands,0,35.2,36.0,20.0,46.0,14.3928,115
ENSEMBLE,2025-11-01,California Islands,0,29.0348,30.0,24.0,34.0,5.5871,115
ENSEMBLE,2025-12-01,California Islands,0,29.5652,30.0,26.0,33.0,6.0665,115
GEESEBAL,2025-01-01,California Islands,0,11.2696,11.0,9.0,14.0,4.4766,115
GEESEBAL,2025-02-01,California Islands,0,19.4348,18.0,9.0,23.0,12.8253,115
