MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2025-01-01,California Islands,0,22.0261,24.0,15.0,29.0,10.6006,115
EEMETRIC,2025-02-01,California Islands,0,21.287,22.0,13.0,29.0,10.168,115
EEMETRIC,2025-03-01,California Islands,0,38.6609,39.0,24.0,50.0,17.3591,115
EEMETRIC,2025-04-01,California Islands,0,65.5565,64.0,59.0,74.0,8.9406,115
EEMETRIC,2025-05-01,California Islands,0,73.7565,72.0,61.0,88.0,15.7356,115
EEMETRIC,2025-06-01,California Islands,0,48.6522,48.0,41.0,56.0,11.0839,115
EEMETRIC,2025-07-01,California Islands,0,52.4696,52.0,42.0,61.0,13.6982,115
EEMETRIC,2025-08-01,California Islands,0,54.0,54.0,43.0,64.0,14.4583,115
EEMETRIC,2025-09-01,California Islands,0,63.7304,63.0,59.0,68.0,7.5277,115
EEMETRIC,2025-10-01,California Islands,0,37.8783,39.0,26.0,48.0,12.7839,115
EEMETRIC,2025-11-01,California Islands,0,18.4957,19.0,7.0,30.0,11.9676,115
EEMETRIC,2025-12-01,California Islands,0,16.9478,16.0,8.0,24.0,10.8057,115
EEMETRIC,2025-01-01,Central Coast,3,26.6432,26.0,14.0,37.0,16.2395,2730435
EEMETRIC,2025-02-01,Central Coast,3,37.3656,38.0,27.0,48.0,15.5016,2730631
EEMETRIC,2025-03-01,Central Coast,3,52.1807,52.0,39.0,65.0,19.5293,2729133
EEMETRIC,2025-04-01,Central Coast,3,66.8676,67.0,49.0,84.0,25.3037,2727278
EEMETRIC,2025-05-01,Central Coast,3,82.6539,81.0,56.0,109.0,36.1258,2724937
EEMETRIC,2025-06-01,Central Coast,3,85.6771,85.0,54.0,116.0,40.706,2711409
EEMETRIC,2025-07-01,Central Coast,3,90.3746,92.0,63.0,119.0,39.9446,2714034
EEMETRIC,2025-08-01,Central Coast,3,92.6983,92.0,60.0,126.0,44.7521,2724939
EEMETRIC,2025-09-01,Central Coast,3,79.4503,78.0,56.0,103.0,33.3296,2727371
EEMETRIC,2025-10-01,Central Coast,3,48.2974,47.0,34.0,61.0,20.9604,2729876
EEMETRIC,2025-11-01,Central Coast,3,28.7221,29.0,19.0,38.0,13.5413,2729254
EEMETRIC,2025-12-01,Central Coast,3,22.179,22.0,13.0,31.0,12.5053,2719195
EEMETRIC,2025-01-01,Colorado River,10,41.5992,40.0,13.0,66.0,29.9578,2621250
EEMETRIC,2025-02-01,Colorado River,10,63.4956,64.0,32.0,96.0,36.2119,2621250
EEMETRIC,2025-03-01,Colorado River,10,87.4305,91.0,45.0,129.0,48.4421,2621250
EEMETRIC,2025-04-01,Colorado River,10,107.6222,120.5034,50.5053,158.5074,60.1895,2621250
EEMETRIC,2025-05-01,Colorado River,10,133.8745,151.0,58.4941,200.0,77.0466,2621250
EEMETRIC,2025-06-01,Colorado River,10,138.8483,150.5069,58.497,210.499,82.3673,2621250
EEMETRIC,2025-07-01,Colorado River,10,138.018,129.0,68.5018,208.5063,80.8669,2621250
EEMETRIC,2025-08-01,Colorado River,10,115.6938,102.4937,60.4989,168.4957,68.6739,2621250
EEMETRIC,2025-09-01,Colorado River,10,92.3136,80.496,46.499,136.4949,56.4244,2621250
EEMETRIC,2025-10-01,Colorado River,10,71.5399,70.0,37.0,104.0,41.4487,2621250
EEMETRIC,2025-11-01,Colorado River,10,46.4061,46.0,28.0,65.0,23.2836,2621250
EEMETRIC,2025-12-01,Colorado River,10,36.0264,36.0,21.0,51.0,18.8518,2621250
EEMETRIC,2025-01-01,North Coast,1,16.3189,14.0,8.0,21.0,12.234,1897761
EEMETRIC,2025-02-01,North Coast,1,17.5773,17.0,8.0,25.0,11.2891,1898930
EEMETRIC,2025-03-01,North Coast,1,40.5818,41.0,25.0,55.0,19.863,1896974
EEMETRIC,2025-04-01,North Coast,1,70.1047,72.0,52.0,90.0,26.1653,1869684
EEMETRIC,2025-05-01,North Coast,1,93.4713,94.0,58.0,129.0,42.8422,1896399
EEMETRIC,2025-06-01,North Coast,1,110.5847,108.0,80.0,144.0,41.9971,1895779
EEMETRIC,2025-07-01,North Coast,1,111.6587,105.0,74.0,154.0,48.7603,1898415
EEMETRIC,2025-08-01,North Coast,1,103.8229,100.0,71.0,140.0,43.9079,1898837
EEMETRIC,2025-09-01,North Coast,1,68.7374,66.0,45.0,93.0,30.7438,1861188
EEMETRIC,2025-10-01,North Coast,1,37.5777,39.0,26.0,50.0,17.2767,1895306
EEMETRIC,2025-11-01,North Coast,1,22.6277,23.0,15.0,31.0,10.6366,1899192
EEMETRIC,2025-12-01,North Coast,1,11.9963,11.0,7.0,16.0,6.9299,1869392
EEMETRIC,2025-01-01,North Lahontan,8,14.0351,12.0,8.0,19.0,8.9761,761804
EEMETRIC,2025-02-01,North Lahontan,8,23.1534,20.0,14.0,31.0,13.93,762292
EEMETRIC,2025-03-01,North Lahontan,8,48.1349,46.0,31.0,64.0,22.4117,762582
EEMETRIC,2025-04-01,North Lahontan,8,75.7821,77.0,56.0,96.0,26.7096,763117
EEMETRIC,2025-05-01,North Lahontan,8,118.4092,124.0,98.0,142.0,32.1618,763211
EEMETRIC,2025-06-01,North Lahontan,8,133.9735,142.0,102.0,170.0,49.0421,763211
EEMETRIC,2025-07-01,North Lahontan,8,129.9575,139.0,94.0,169.0,50.7905,763211
EEMETRIC,2025-08-01,North Lahontan,8,110.6,118.0,76.0,146.0,45.4334,763211
EEMETRIC,2025-09-01,North Lahontan,8,83.6941,88.0,56.0,111.0,34.0708,763211
EEMETRIC,2025-10-01,North Lahontan,8,49.5662,50.0,36.0,63.0,19.1431,753525
