MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2003-10-01,California Islands,0,36.3565,31.0,23.0,57.0,19.4029,115
ENSEMBLE,2003-11-01,California Islands,0,19.9826,17.0,9.0,28.0,12.1641,115
ENSEMBLE,2003-12-01,California Islands,0,16.1826,17.0,6.0,24.0,10.6212,115
ENSEMBLE,2004-01-01,California Islands,0,30.887,31.0,25.0,36.0,7.0065,115
ENSEMBLE,2004-02-01,California Islands,0,34.2,35.0,29.0,41.0,9.2701,115
ENSEMBLE,2004-03-01,California Islands,0,76.9478,78.0,73.0,82.0,7.8429,115
ENSEMBLE,2004-04-01,California Islands,0,75.887,75.0,67.0,84.0,11.8011,115
ENSEMBLE,2004-05-01,California Islands,0,63.7391,58.0,36.0,91.0,32.6771,115
ENSEMBLE,2004-06-01,California Islands,0,59.0261,63.0,47.0,75.0,22.1015,115
ENSEMBLE,2004-07-01,California Islands,0,55.913,61.0,45.0,72.0,23.0393,115
ENSEMBLE,2004-08-01,California Islands,0,42.3217,44.0,26.0,60.0,20.9357,115
ENSEMBLE,2004-09-01,California Islands,0,35.2435,29.0,18.0,49.0,23.3546,115
ENSEMBLE,2004-10-01,California Islands,0,35.6087,34.0,30.0,40.0,8.03,115
ENSEMBLE,2004-11-01,California Islands,0,32.0348,33.0,24.0,41.0,10.3998,115
ENSEMBLE,2004-12-01,California Islands,0,32.5391,32.0,25.0,39.0,8.9911,115
ENSEMBLE,2005-01-01,California Islands,0,38.5826,39.0,34.0,43.0,7.5998,115
ENSEMBLE,2005-02-01,California Islands,0,37.4,35.0,32.0,42.0,8.3027,115
ENSEMBLE,2005-03-01,California Islands,0,59.0348,58.0,53.0,63.0,8.306,115
ENSEMBLE,2005-04-01,California Islands,0,88.7652,89.0,77.0,99.0,14.968,115
ENSEMBLE,2005-05-01,California Islands,0,92.0348,92.0,81.0,109.0,17.4221,115
ENSEMBLE,2005-06-01,California Islands,0,78.0522,75.0,63.0,94.0,22.2002,115
ENSEMBLE,2005-07-01,California Islands,0,80.1826,85.0,72.0,95.0,21.8125,115
ENSEMBLE,2005-08-01,California Islands,0,48.4696,52.0,25.0,70.0,22.8177,115
ENSEMBLE,2005-09-01,California Islands,0,55.1913,46.0,37.0,78.0,24.4419,115
ENSEMBLE,2005-10-01,California Islands,0,23.2435,20.0,11.0,34.0,13.3544,115
ENSEMBLE,2005-11-01,California Islands,0,17.8609,14.0,9.0,25.0,11.2713,115
ENSEMBLE,2005-12-01,California Islands,0,20.6957,18.0,12.0,29.0,9.2456,115
ENSEMBLE,2006-01-01,California Islands,0,26.5565,28.0,18.0,33.0,8.9581,115
ENSEMBLE,2006-02-01,California Islands,0,56.6957,57.0,53.0,61.0,6.5835,115
ENSEMBLE,2006-03-01,California Islands,0,56.1739,57.0,51.0,60.0,7.048,115
ENSEMBLE,2006-04-01,California Islands,0,66.1826,68.0,62.0,73.0,10.1284,115
ENSEMBLE,2006-05-01,California Islands,0,86.9565,90.0,80.0,94.0,9.8072,115
ENSEMBLE,2006-06-01,California Islands,0,109.8957,110.0,99.0,125.0,15.6274,115
ENSEMBLE,2006-07-01,California Islands,0,107.3304,106.0,94.0,122.0,20.2096,115
ENSEMBLE,2006-08-01,California Islands,0,82.0435,85.0,65.0,101.0,23.177,115
ENSEMBLE,2006-09-01,California Islands,0,57.5391,60.0,44.0,70.0,20.773,115
ENSEMBLE,2006-10-01,California Islands,0,48.287,51.0,34.0,60.0,16.971,115
ENSEMBLE,2006-11-01,California Islands,0,29.9826,31.0,20.0,39.0,12.7088,115
