MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2003-10-01,California Islands,0,73.1739,77.0,60.0,85.0,15.8883,115
GEESEBAL,2003-11-01,California Islands,0,12.2609,10.0,4.0,20.0,8.8151,115
GEESEBAL,2003-12-01,California Islands,0,6.0957,2.0,0.0,12.0,7.6601,115
GEESEBAL,2004-01-01,California Islands,0,29.287,29.0,18.0,38.0,12.7925,115
GEESEBAL,2004-02-01,California Islands,0,26.1391,25.0,23.0,27.0,4.4933,115
GEESEBAL,2004-03-01,California Islands,0,84.0,85.0,77.0,91.0,8.9802,115
GEESEBAL,2004-04-01,California Islands,0,116.487,119.0,111.0,122.0,7.1352,115
GEESEBAL,2004-05-01,California Islands,0,91.4609,93.0,66.0,113.0,32.2291,115
GEESEBAL,2004-06-01,California Islands,0,79.287,86.0,62.0,104.0,31.0155,115
GEESEBAL,2004-07-01,California Islands,0,84.713,90.0,64.0,109.0,29.9878,115
GEESEBAL,2004-08-01,California Islands,0,87.6261,94.0,68.0,108.0,27.4573,115
GEESEBAL,2004-09-01,California Islands,0,51.9739,44.0,33.0,71.0,24.0794,115
GEESEBAL,2004-10-01,California Islands,0,48.2783,49.0,43.0,55.0,8.5298,115
GEESEBAL,2004-11-01,California Islands,0,20.3217,21.0,15.0,26.0,7.329,115
GEESEBAL,2004-12-01,California Islands,0,27.4348,29.0,22.0,34.0,9.3587,115
GEESEBAL,2005-01-01,California Islands,0,32.7913,35.0,23.0,41.0,10.2249,115
GEESEBAL,2005-02-01,California Islands,0,23.5043,21.0,15.0,32.0,11.1927,115
GEESEBAL,2005-03-01,California Islands,0,52.5304,50.0,40.0,66.0,17.706,115
GEESEBAL,2005-04-01,California Islands,0,94.5043,100.0,81.0,110.0,23.1093,115
GEESEBAL,2005-05-01,California Islands,0,107.0435,105.0,86.0,132.0,26.9209,115
GEESEBAL,2005-06-01,California Islands,0,90.1565,81.0,63.0,116.0,32.8206,115
GEESEBAL,2005-07-01,California Islands,0,139.4957,143.0,131.0,154.0,16.0745,115
GEESEBAL,2005-08-01,California Islands,0,96.1826,100.0,51.0,140.0,38.5504,115
GEESEBAL,2005-09-01,California Islands,0,72.6957,59.0,57.0,95.0,22.0088,115
GEESEBAL,2005-10-01,California Islands,0,26.5304,24.0,15.0,35.0,13.6352,115
GEESEBAL,2005-11-01,California Islands,0,21.6696,19.0,16.0,27.0,8.2533,115
GEESEBAL,2005-12-01,California Islands,0,29.1739,31.0,25.0,35.0,9.6669,115
GEESEBAL,2006-01-01,California Islands,0,23.1913,22.0,20.0,27.0,5.5261,115
GEESEBAL,2006-02-01,California Islands,0,86.2348,88.0,83.0,91.0,6.9624,115
GEESEBAL,2006-03-01,California Islands,0,52.5826,51.0,48.0,53.0,8.5404,115
GEESEBAL,2006-04-01,California Islands,0,54.7478,73.0,20.0,85.0,32.6315,115
GEESEBAL,2006-05-01,California Islands,0,100.8783,102.0,93.0,108.0,12.7526,115
GEESEBAL,2006-06-01,California Islands,0,144.6435,143.0,138.0,154.0,9.7528,115
GEESEBAL,2006-07-01,California Islands,0,151.8087,153.0,147.0,161.0,14.6025,115
GEESEBAL,2006-08-01,California Islands,0,120.2,124.0,106.0,133.0,17.0453,115
GEESEBAL,2006-09-01,California Islands,0,83.1826,85.0,72.0,93.0,13.1788,115
GEESEBAL,2006-10-01,California Islands,0,77.9739,78.0,72.0,85.0,8.2551,115
GEESEBAL,2006-11-01,California Islands,0,48.0,49.0,45.0,54.0,9.2323,115
GEESEBAL,2006-12-01,California Islands,0,22.7478,23.0,19.0,29.0,7.953,115
GEESEBAL,2007-01-01,California Islands,0,19.5217,20.0,15.0,22.0,7.6798,115
GEESEBAL,2007-02-01,California Islands,0,17.5739,17.0,12.0,21.0,8.5017,115
