MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2003-10-01,California Islands,0,92.4957,93.0,86.0,98.0,9.0086,115
PTJPL,2003-11-01,California Islands,0,72.4696,71.0,66.0,79.0,6.6048,115
PTJPL,2003-12-01,California Islands,0,47.3478,47.0,43.0,52.0,4.3239,115
PTJPL,2004-01-01,California Islands,0,57.487,58.0,49.0,66.0,8.7192,115
PTJPL,2004-02-01,California Islands,0,66.1217,66.0,62.0,70.0,5.0219,115
PTJPL,2004-03-01,California Islands,0,83.5478,84.0,81.0,88.0,6.5132,115
PTJPL,2004-04-01,California Islands,0,93.9826,93.0,91.0,97.0,3.9672,115
PTJPL,2004-05-01,California Islands,0,117.6261,116.0,112.0,123.0,9.1789,115
PTJPL,2004-06-01,California Islands,0,79.1217,80.0,75.0,84.0,7.6887,115
PTJPL,2004-07-01,California Islands,0,93.4348,92.0,85.0,102.0,9.8379,115
PTJPL,2004-08-01,California Islands,0,92.9652,92.0,86.0,98.0,10.0589,115
PTJPL,2004-09-01,California Islands,0,90.0696,89.0,84.0,97.0,10.6972,115
PTJPL,2004-10-01,California Islands,0,79.887,80.0,77.0,83.0,4.9673,115
PTJPL,2004-11-01,California Islands,0,80.087,80.0,77.0,84.0,4.1,115
PTJPL,2004-12-01,California Islands,0,68.1739,68.0,65.0,72.0,4.0717,115
PTJPL,2005-01-01,California Islands,0,53.9739,53.0,50.0,57.0,5.1961,115
PTJPL,2005-02-01,California Islands,0,57.4174,57.0,54.0,60.0,5.0613,115
PTJPL,2005-03-01,California Islands,0,77.0435,73.0,69.0,86.0,10.2511,115
PTJPL,2005-04-01,California Islands,0,109.9913,110.0,104.0,114.0,6.7354,115
PTJPL,2005-05-01,California Islands,0,108.2957,108.0,106.0,111.0,4.0604,115
PTJPL,2005-06-01,California Islands,0,100.6087,100.0,96.0,105.0,5.5774,115
PTJPL,2005-07-01,California Islands,0,127.2783,131.0,121.0,138.0,15.5533,115
