MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SIMS,2025-01-01,California Islands,0,31.7739,31.0,27.0,36.0,5.9827,115
SIMS,2025-02-01,California Islands,0,39.713,41.0,38.0,42.0,3.4484,115
SIMS,2025-03-01,California Islands,0,72.1391,74.0,69.0,76.0,6.0503,115
SIMS,2025-04-01,California Islands,0,76.3043,77.0,73.0,80.0,5.3668,115
SIMS,2025-05-01,California Islands,0,69.9565,71.0,62.0,79.0,10.6301,115
SIMS,2025-06-01,California Islands,0,44.3913,43.0,39.0,49.0,7.8681,115
SIMS,2025-07-01,California Islands,0,43.2522,41.0,36.0,49.0,7.785,115
SIMS,2025-08-01,California Islands,0,44.9304,44.0,40.0,49.0,6.479,115
SIMS,2025-09-01,California Islands,0,50.4174,50.0,47.0,54.0,5.0545,115
SIMS,2025-10-01,California Islands,0,40.8609,41.0,37.0,44.0,4.3377,115
SIMS,2025-11-01,California Islands,0,33.4522,34.0,32.0,35.0,2.4002,115
SIMS,2025-12-01,California Islands,0,37.687,39.0,35.0,41.0,3.9921,115
SIMS,2025-01-01,Central Coast,3,33.5179,34.0,25.0,41.0,12.486,2721563
SIMS,2025-02-01,Central Coast,3,46.0068,48.0,40.0,55.0,12.9952,2721222
SIMS,2025-03-01,Central Coast,3,69.5014,73.0,63.0,82.0,18.43,2721262
SIMS,2025-04-01,Central Coast,3,68.3368,68.0,48.0,88.0,26.0701,2721144
SIMS,2025-05-01,Central Coast,3,72.276,69.0,44.0,96.0,36.334,2721079
SIMS,2025-06-01,Central Coast,3,69.0727,63.0,39.0,95.0,38.9062,2718291
SIMS,2025-07-01,Central Coast,3,69.8184,64.0,39.0,97.0,40.4284,2719849
SIMS,2025-08-01,Central Coast,3,70.4483,63.0,40.0,97.0,41.3783,2721013
SIMS,2025-09-01,Central Coast,3,60.1747,54.0,39.0,79.0,30.0516,2721127
SIMS,2025-10-01,Central Coast,3,48.218,45.0,36.0,59.0,19.5504,2721285
SIMS,2025-11-01,Central Coast,3,36.4387,36.0,32.0,43.0,10.2805,2721252
SIMS,2025-12-01,Central Coast,3,27.7134,26.0,22.0,33.0,9.4209,2720316
SIMS,2025-01-01,Colorado River,10,50.2068,50.0,26.0,75.0,27.5076,2615656
SIMS,2025-02-01,Colorado River,10,62.4765,64.0,33.0,94.0,33.2463,2615527
SIMS,2025-03-01,Colorado River,10,94.2594,108.0,49.0,134.0,45.8756,2615527
SIMS,2025-04-01,Colorado River,10,110.9692,135.0,42.0,164.0,62.2391,2615527
SIMS,2025-05-01,Colorado River,10,135.1923,162.5026,48.4855,200.4983,75.8624,2615527
SIMS,2025-06-01,Colorado River,10,133.3445,158.5111,44.5075,202.4984,79.6986,2615527
SIMS,2025-07-01,Colorado River,10,116.8126,114.4966,40.2633,188.5051,77.3217,2615527
SIMS,2025-08-01,Colorado River,10,109.0636,98.5029,56.5674,166.5017,64.5964,2615527
SIMS,2025-09-01,Colorado River,10,98.591,86.0,59.0,145.0,51.2269,2615527
SIMS,2025-10-01,Colorado River,10,67.5063,58.0,29.0,109.0,43.0377,2615527
