MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2025-01-01,California Islands,0,14.6174,13.0,7.0,21.0,9.7245,115
SSEBOP,2025-02-01,California Islands,0,18.2783,17.0,14.0,22.0,5.6454,115
SSEBOP,2025-03-01,California Islands,0,46.4,46.0,41.0,51.0,6.9817,115
SSEBOP,2025-04-01,California Islands,0,50.287,51.0,46.0,54.0,6.4333,115
SSEBOP,2025-05-01,California Islands,0,43.6609,45.0,34.0,54.0,12.5448,115
SSEBOP,2025-06-01,California Islands,0,23.887,25.0,13.0,34.0,12.2827,115
SSEBOP,2025-07-01,California Islands,0,20.3478,20.0,9.0,31.0,12.7791,115
SSEBOP,2025-08-01,California Islands,0,22.7565,22.0,12.0,32.0,11.9205,115
SSEBOP,2025-09-01,California Islands,0,22.6435,23.0,17.0,29.0,9.07,115
SSEBOP,2025-10-01,California Islands,0,17.7217,18.0,8.0,26.0,9.9778,115
SSEBOP,2025-11-01,California Islands,0,18.8435,19.0,15.0,22.0,4.7008,115
SSEBOP,2025-12-01,California Islands,0,28.3739,28.0,24.0,32.0,5.3819,115
SSEBOP,2025-01-01,Central Coast,3,26.355,26.0,14.0,37.0,16.274,2731056
SSEBOP,2025-02-01,Central Coast,3,29.9614,30.0,19.0,40.0,15.3208,2731010
SSEBOP,2025-03-01,Central Coast,3,48.5126,49.0,33.0,63.0,21.6507,2730765
SSEBOP,2025-04-01,Central Coast,3,58.6649,59.0,36.0,80.0,31.1083,2730374
SSEBOP,2025-05-01,Central Coast,3,66.1218,65.0,33.0,95.0,42.1003,2729699
SSEBOP,2025-06-01,Central Coast,3,65.4912,64.0,31.0,94.0,43.6572,2725838
SSEBOP,2025-07-01,Central Coast,3,64.0367,62.0,31.0,92.0,42.2907,2727951
SSEBOP,2025-08-01,Central Coast,3,68.5821,67.0,32.0,99.0,44.8963,2729737
SSEBOP,2025-09-01,Central Coast,3,55.7904,54.0,30.0,78.0,32.5331,2730751
SSEBOP,2025-10-01,Central Coast,3,41.2281,38.0,25.0,55.0,21.8269,2730985
SSEBOP,2025-11-01,Central Coast,3,29.1656,29.0,21.0,37.0,11.4615,2730954
SSEBOP,2025-12-01,Central Coast,3,28.0357,28.0,20.0,35.0,11.1373,2729542
SSEBOP,2025-01-01,Colorado River,10,47.3696,49.0,17.0,74.0,32.2229,2621250
SSEBOP,2025-02-01,Colorado River,10,51.5957,53.0,10.0,87.0,39.641,2621250
SSEBOP,2025-03-01,Colorado River,10,79.5578,86.0,25.0,125.0,54.9537,2621250
SSEBOP,2025-04-01,Colorado River,10,99.7655,116.5069,22.4957,158.4953,69.0768,2621250
SSEBOP,2025-05-01,Colorado River,10,120.982,138.5026,26.4883,190.5004,84.6825,2621250
SSEBOP,2025-06-01,Colorado River,10,111.9301,124.5037,14.4821,184.4969,85.1863,2621250
SSEBOP,2025-07-01,Colorado River,10,100.2296,88.5051,21.0,168.5024,80.8553,2621250
SSEBOP,2025-08-01,Colorado River,10,79.1206,60.498,16.4984,132.5029,69.9723,2621250
SSEBOP,2025-09-01,Colorado River,10,73.4062,59.0,26.0,116.0,55.1406,2621250
SSEBOP,2025-10-01,Colorado River,10,63.017,61.0,27.0,95.0,40.9483,2621250
SSEBOP,2025-11-01,Colorado River,10,44.5247,45.0,24.0,63.0,23.1177,2621250
SSEBOP,2025-12-01,Colorado River,10,37.3343,39.0,20.0,53.0,20.3416,2621250
SSEBOP,2025-01-01,North Coast,1,19.2363,17.0,7.0,31.0,12.8828,1905609
