MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2015-03-01,California Islands,0,99.4425,102.0,75.0,127.0,33.6747,90866
DISALEXI,2015-03-01,Central Coast,3,56.7632,56.0,34.0,78.0,30.2329,31699190
DISALEXI,2015-03-01,Colorado River,10,23.8406,15.0,5.0,30.0,28.0347,55536308
DISALEXI,2015-03-01,North Coast,1,67.1644,69.0,51.0,85.0,22.8553,52923805
DISALEXI,2015-03-01,North Lahontan,8,43.3424,40.0,24.0,60.0,26.3351,15269100
DISALEXI,2015-03-01,Sacramento River,5,60.1337,60.0,43.0,77.0,23.029,75024745
DISALEXI,2015-03-01,San Francisco Bay,2,60.0307,59.0,43.0,77.0,24.8533,10963361
DISALEXI,2015-03-01,San Joaquin River,6,64.8613,64.4981,44.5068,86.4959,29.0834,39729913
DISALEXI,2015-03-01,South Coast,4,60.6707,59.0,41.0,79.0,29.0092,30811760
DISALEXI,2015-03-01,South Lahontan,9,23.1524,15.0,5.0,32.0,25.327,74401779
DISALEXI,2015-03-01,Tulare Lake,7,55.0669,48.4962,28.5032,80.4976,34.5983,45155276
