MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2009-04-01,California Islands,0,52.6454,50.0,30.0,73.0,29.6693,247855
EEMETRIC,2009-04-01,Central Coast,3,54.5496,50.4993,24.4986,80.4953,36.2642,32339608
EEMETRIC,2009-04-01,Colorado River,10,16.3012,2.4334,0.1932,14.4808,34.9743,56813082
EEMETRIC,2009-04-01,North Coast,1,67.0973,66.0,39.0,93.0,37.006,55199565
EEMETRIC,2009-04-01,North Lahontan,8,39.6845,34.0,17.0,56.0,30.3963,16882175
EEMETRIC,2009-04-01,Sacramento River,5,66.2155,62.4994,40.5037,90.4951,34.2634,78077484
EEMETRIC,2009-04-01,San Francisco Bay,2,59.5732,58.0,32.0,84.0,33.5002,12906461
EEMETRIC,2009-04-01,San Joaquin River,6,60.4988,56.4968,30.5033,86.4958,38.7582,42977068
EEMETRIC,2009-04-01,South Coast,4,68.1806,64.498,40.5029,94.4957,36.9503,31119544
EEMETRIC,2009-04-01,South Lahontan,9,16.0877,8.4834,0.2896,20.4826,23.6631,74927799
EEMETRIC,2009-04-01,Tulare Lake,7,57.6861,48.4972,18.5003,88.499,46.6331,47145670
