MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2006-10-01,California Islands,0,67.9399,52,41,63,727.6771,295937
ENSEMBLE,2006-10-01,Central Coast,3,36.5037,36,15,55,23.8461,32366488
ENSEMBLE,2006-10-01,Colorado River,10,12.2757,4,1,11,23.462,56922106
ENSEMBLE,2006-10-01,North Coast,1,51.521,54,38,66,21.4571,55707808
ENSEMBLE,2006-10-01,North Lahontan,8,28.8706,26,15,41,17.881,17523698
ENSEMBLE,2006-10-01,Sacramento River,5,43.9321,46,27,61,22.4037,78288129
ENSEMBLE,2006-10-01,San Francisco Bay,2,42.3289,42,24,61,22.2322,12929824
ENSEMBLE,2006-10-01,San Joaquin River,6,37.3866,37,18,56,22.9743,43788786
ENSEMBLE,2006-10-01,South Coast,4,43.5285,44,28,58,20.2968,31342093
ENSEMBLE,2006-10-01,South Lahontan,9,11.3228,7,3,15,12.761,76452895
ENSEMBLE,2006-10-01,Tulare Lake,7,33.1885,29,13,52,23.3556,48205829
