MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
FILLED,2017-03-01,California Islands,0,82.3628,77,64,87,476.3049,296102
FILLED,2017-03-01,Central Coast,3,69.9356,74,60,83,18.598,32371161
FILLED,2017-03-01,Colorado River,10,30.1287,20,12,35,31.1215,56934094
FILLED,2017-03-01,North Coast,1,51.4492,54,42,63,14.9882,55741104
FILLED,2017-03-01,North Lahontan,8,34.6436,34,21,47,18.9042,17545486
FILLED,2017-03-01,Sacramento River,5,51.1173,53,40,63,18.0112,78301288
FILLED,2017-03-01,San Francisco Bay,2,61.8581,66,51,76,19.2206,12945676
FILLED,2017-03-01,San Joaquin River,6,59.9296,67,49,78,26.0715,43990553
FILLED,2017-03-01,South Coast,4,65.9783,69,49,84,24.0983,31349402
FILLED,2017-03-01,South Lahontan,9,23.8146,21,12,32,16.8803,76670216
FILLED,2017-03-01,Tulare Lake,7,60.2442,64,44,79,25.6717,48459785
