MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2019-10-01,California Islands,0,39.0735,38,25,51,19.7825,294230
GEESEBAL,2019-10-01,Central Coast,3,24.2653,19,8,37,19.644,32143560
GEESEBAL,2019-10-01,Colorado River,10,11.9487,3,0,14,21.2139,56889334
GEESEBAL,2019-10-01,North Coast,1,37.2326,37,17,56,23.9007,53878766
GEESEBAL,2019-10-01,North Lahontan,8,31.2152,30,15,46,20.518,17365171
GEESEBAL,2019-10-01,Sacramento River,5,37.0809,38,19,55,22.2867,77341019
GEESEBAL,2019-10-01,San Francisco Bay,2,30.7439,24,9,49,25.879,12902545
GEESEBAL,2019-10-01,San Joaquin River,6,31.6494,29,12,49,22.3961,43521001
GEESEBAL,2019-10-01,South Coast,4,33.973,32,17,49,21.1646,31270336
GEESEBAL,2019-10-01,South Lahontan,9,12.3446,9,2,17,13.4894,76285594
GEESEBAL,2019-10-01,Tulare Lake,7,30.6271,23,7,50,26.9048,48118980
