MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2011-06-01,California Islands,0,108.5316,110.0,104.0,115.0,8.8142,295612
PTJPL,2011-06-01,Central Coast,3,99.2691,105.0,69.0,129.0,34.8496,32366020
PTJPL,2011-06-01,Colorado River,10,23.6463,8.4656,4.491,16.4693,49.0251,56929172
PTJPL,2011-06-01,North Coast,1,129.7994,135.0,116.0,147.0,25.3799,53941231
PTJPL,2011-06-01,North Lahontan,8,94.5685,93.0,77.0,109.0,28.871,16498734
PTJPL,2011-06-01,Sacramento River,5,118.1535,121.0,99.0,137.0,29.689,75775065
PTJPL,2011-06-01,San Francisco Bay,2,120.5986,120.0,101.0,136.0,29.0183,12938223
PTJPL,2011-06-01,San Joaquin River,6,109.566,112.5015,76.5032,138.5025,38.671,40145466
PTJPL,2011-06-01,South Coast,4,92.1836,96.5035,66.5013,118.5002,33.5156,31318386
PTJPL,2011-06-01,South Lahontan,9,22.8788,16.5002,8.4944,28.4742,24.0282,75721598
PTJPL,2011-06-01,Tulare Lake,7,86.7115,78.5,44.4904,126.5067,47.7612,46236334
