MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2014-08-01,California Islands,0,279.0078,30.0,18.0,44.0,4013.9535,295550
SSEBOP,2014-08-01,Central Coast,3,52.7502,50.0,15.0,83.0,40.3449,32348291
SSEBOP,2014-08-01,Colorado River,10,16.8507,0.1553,0.1553,10.4742,44.124,56933369
SSEBOP,2014-08-01,North Coast,1,144.4159,156.5009,98.5031,196.4975,67.0977,55679066
SSEBOP,2014-08-01,North Lahontan,8,58.9174,45.0,18.0,94.0,49.5151,17540262
SSEBOP,2014-08-01,Sacramento River,5,102.0969,105.0,54.0,150.0,58.8171,78296689
SSEBOP,2014-08-01,San Francisco Bay,2,75.9093,70.0,34.0,116.0,50.2798,12566594
SSEBOP,2014-08-01,San Joaquin River,6,84.3775,82.5001,28.4996,134.4987,62.1983,43847816
SSEBOP,2014-08-01,South Coast,4,56.2772,51.0,27.0,80.0,38.4251,31343676
SSEBOP,2014-08-01,South Lahontan,9,11.8146,2.4409,0.1497,12.4792,26.625,76534335
SSEBOP,2014-08-01,Tulare Lake,7,68.2496,54.5008,6.48,116.4969,64.2259,48295119
