MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2003-10-01,California Islands,0,56.3242,54.0,23.0,85.0,39.1059,75309
DISALEXI,2003-11-01,California Islands,0,28.4077,27.0,6.0,48.0,22.3024,90834
DISALEXI,2003-12-01,California Islands,0,19.6913,16.0,2.0,35.0,17.7394,90753
DISALEXI,2004-01-01,California Islands,0,30.714,30.0,8.0,51.0,23.3412,97771
DISALEXI,2004-02-01,California Islands,0,40.5589,41.0,21.0,59.0,21.6754,90826
DISALEXI,2004-03-01,California Islands,0,93.9603,94.0,71.0,119.0,33.1202,87330
DISALEXI,2004-04-01,California Islands,0,111.4038,111.0,74.0,148.0,51.4119,97986
DISALEXI,2004-05-01,California Islands,0,135.0525,139.0,96.0,176.0,55.0176,98044
DISALEXI,2004-06-01,California Islands,0,151.255,155.0,119.0,187.0,48.8982,90865
DISALEXI,2004-07-01,California Islands,0,134.622,137.0,100.0,171.0,49.4743,90364
DISALEXI,2004-08-01,California Islands,0,107.6104,106.0,68.0,144.0,51.3007,74884
DISALEXI,2004-09-01,California Islands,0,84.7083,84.0,47.0,122.0,49.2893,90832
DISALEXI,2004-10-01,California Islands,0,58.7304,60.0,34.0,85.0,31.8317,90827
DISALEXI,2004-11-01,California Islands,0,39.2492,41.0,17.0,61.0,24.6694,90771
DISALEXI,2004-12-01,California Islands,0,26.0881,25.0,7.0,44.0,19.5332,97994
DISALEXI,2005-01-01,California Islands,0,34.1523,36.0,15.0,53.0,20.9302,89694
DISALEXI,2005-02-01,California Islands,0,41.3813,43.0,26.0,57.0,18.2125,84944
DISALEXI,2005-03-01,California Islands,0,82.9579,85.0,63.0,105.0,27.9871,78291
DISALEXI,2005-04-01,California Islands,0,119.2154,122.0,95.0,147.0,34.9529,98044
DISALEXI,2005-05-01,California Islands,0,147.5288,151.0,116.0,181.0,44.415,98044
DISALEXI,2005-06-01,California Islands,0,163.5718,169.0,131.0,199.0,48.2652,97186
DISALEXI,2005-07-01,California Islands,0,157.5681,158.0,121.0,196.0,54.2477,75890
DISALEXI,2005-08-01,California Islands,0,109.4639,108.0,67.0,153.0,58.2726,90863
DISALEXI,2005-09-01,California Islands,0,88.6812,90.0,57.0,123.0,44.1187,90864
DISALEXI,2005-10-01,California Islands,0,60.3281,59.0,30.0,90.0,36.7352,90859
DISALEXI,2005-11-01,California Islands,0,29.0353,23.0,3.0,52.0,26.0795,98040
DISALEXI,2005-12-01,California Islands,0,23.4299,21.0,4.0,41.0,19.4685,97990
DISALEXI,2006-01-01,California Islands,0,29.9575,29.0,9.0,49.0,21.9995,97992
DISALEXI,2006-02-01,California Islands,0,47.743,48.0,22.0,73.0,29.6493,97998
DISALEXI,2006-03-01,California Islands,0,76.9901,79.0,48.0,107.0,37.0894,98043
DISALEXI,2006-04-01,California Islands,0,111.1688,114.0,95.0,130.0,25.1868,69049
DISALEXI,2006-05-01,California Islands,0,177.0317,184.0,154.0,205.0,38.6938,84182
DISALEXI,2006-06-01,California Islands,0,178.5875,185.0,149.0,214.0,48.0429,90866
DISALEXI,2006-07-01,California Islands,0,172.2894,178.0,140.0,209.0,49.3406,90866
DISALEXI,2006-08-01,California Islands,0,144.8293,150.0,111.0,182.0,50.0682,90860
DISALEXI,2006-09-01,California Islands,0,106.3649,108.0,74.0,140.0,46.2218,90856
DISALEXI,2006-10-01,California Islands,0,70.7302,72.0,45.0,97.0,33.9227,90828
DISALEXI,2006-11-01,California Islands,0,38.7714,39.0,13.0,62.0,26.4374,90780
DISALEXI,2006-12-01,California Islands,0,30.131,30.0,9.0,50.0,21.5754,90759
DISALEXI,2007-01-01,California Islands,0,35.6178,36.0,10.0,59.0,25.1423,90760
DISALEXI,2007-02-01,California Islands,0,48.9662,50.0,31.0,69.0,23.4971,98009
