MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2025-01-01,California Islands,0,10.0653,5.0,1.0,14.0,13.7471,247863
EEMETRIC,2025-02-01,California Islands,0,18.0221,15.0,4.0,27.0,15.777,247863
EEMETRIC,2025-03-01,California Islands,0,31.2401,27.0,11.0,46.0,24.3892,247863
EEMETRIC,2025-04-01,California Islands,0,49.4796,50.0,33.0,66.0,23.5089,247829
EEMETRIC,2025-05-01,California Islands,0,65.9745,66.0,48.0,84.0,25.399,244087
EEMETRIC,2025-06-01,California Islands,0,52.6783,53.0,40.0,66.0,18.2257,242671
EEMETRIC,2025-07-01,California Islands,0,56.3397,57.0,42.0,71.0,20.7372,244340
EEMETRIC,2025-08-01,California Islands,0,55.9332,58.0,39.0,73.0,23.6634,244778
EEMETRIC,2025-09-01,California Islands,0,64.3646,64.0,51.0,78.0,19.2286,246330
EEMETRIC,2025-10-01,California Islands,0,34.0388,32.0,20.0,46.0,19.5001,246214
EEMETRIC,2025-11-01,California Islands,0,9.5473,5.0,1.0,14.0,11.6912,247736
EEMETRIC,2025-12-01,California Islands,0,10.7836,6.0,1.0,17.0,12.4684,247565
EEMETRIC,2025-01-01,Central Coast,3,18.6671,11.0,2.0,30.0,20.4424,32341995
EEMETRIC,2025-02-01,Central Coast,3,29.7299,26.0,11.0,45.0,22.3646,32326415
EEMETRIC,2025-03-01,Central Coast,3,46.5714,45.0,28.0,64.0,25.1247,32316983
EEMETRIC,2025-04-01,Central Coast,3,64.6636,65.0,42.0,87.0,31.4327,32300980
EEMETRIC,2025-05-01,Central Coast,3,74.5703,72.4998,36.5032,110.4971,46.7019,32287600
EEMETRIC,2025-06-01,Central Coast,3,70.2793,66.4995,30.5017,104.498,47.7908,32246592
EEMETRIC,2025-07-01,Central Coast,3,77.8469,76.4994,36.5014,114.4964,51.1366,32214371
EEMETRIC,2025-08-01,Central Coast,3,68.7358,64.4992,28.5001,102.4952,48.3959,32300240
EEMETRIC,2025-09-01,Central Coast,3,64.0292,60.4988,34.5004,92.4967,37.6664,32328368
EEMETRIC,2025-10-01,Central Coast,3,39.0436,34.0,17.0,57.0,27.4868,32335819
EEMETRIC,2025-11-01,Central Coast,3,18.0367,14.0,4.0,28.0,16.5091,32323794
EEMETRIC,2025-12-01,Central Coast,3,14.5393,9.0,1.0,23.0,15.7753,32270346
EEMETRIC,2025-01-01,Colorado River,10,5.4748,0.0,0.0,3.0,13.9054,56834848
EEMETRIC,2025-02-01,Colorado River,10,9.8437,2.4602,0.1591,8.4603,19.9289,56832883
EEMETRIC,2025-03-01,Colorado River,10,13.7304,0.1726,0.1726,12.4767,28.7233,56755229
