MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2025-01-01,California Islands,0,24.3755,24.0,19.0,30.0,9.3265,294325
ENSEMBLE,2025-02-01,California Islands,0,34.0469,34.0,29.0,40.0,8.4111,294314
ENSEMBLE,2025-03-01,California Islands,0,56.0158,56.0,48.0,64.0,11.9333,294130
ENSEMBLE,2025-04-01,California Islands,0,83.7106,85.0,74.0,95.0,16.4638,293793
ENSEMBLE,2025-05-01,California Islands,0,96.8395,97.0,86.0,108.0,17.4378,293214
ENSEMBLE,2025-06-01,California Islands,0,83.4537,84.0,73.0,95.0,17.1952,292823
ENSEMBLE,2025-07-01,California Islands,0,85.8402,88.0,75.0,99.0,19.3864,292513
ENSEMBLE,2025-08-01,California Islands,0,89.3685,91.0,79.0,102.0,19.8214,293395
ENSEMBLE,2025-09-01,California Islands,0,73.2823,73.0,62.0,84.0,17.0048,293706
ENSEMBLE,2025-10-01,California Islands,0,42.0227,43.0,34.0,51.0,13.4921,293834
ENSEMBLE,2025-11-01,California Islands,0,24.9534,25.0,21.0,29.0,6.3718,294325
ENSEMBLE,2025-12-01,California Islands,0,25.9861,26.0,21.0,31.0,8.3781,292555
ENSEMBLE,2025-01-01,Central Coast,3,24.9902,26.0,17.0,33.0,11.6434,32369060
ENSEMBLE,2025-02-01,Central Coast,3,35.4713,37.0,28.0,44.0,12.5116,32367106
ENSEMBLE,2025-03-01,Central Coast,3,57.9359,60.0,49.0,69.0,16.081,32366510
ENSEMBLE,2025-04-01,Central Coast,3,82.1453,87.0,65.0,103.0,27.7182,32362250
ENSEMBLE,2025-05-01,Central Coast,3,92.2076,96.5016,54.5013,132.5007,46.9993,32357977
ENSEMBLE,2025-06-01,Central Coast,3,82.5992,84.5017,42.4993,122.0,47.8106,32349025
ENSEMBLE,2025-07-01,Central Coast,3,84.0746,84.4991,42.5017,124.5013,50.9965,32333933
ENSEMBLE,2025-08-01,Central Coast,3,73.4307,72.5004,32.4957,110.4991,46.3783,32361022
