MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2003-10-01,California Islands,0,51.3316,55.0,34.0,72.0,25.766,281189
GEESEBAL,2003-11-01,California Islands,0,8.5048,7.0,3.0,12.0,7.7855,288069
GEESEBAL,2003-12-01,California Islands,0,1.7449,0.0,0.0,1.0,4.0421,279513
GEESEBAL,2004-01-01,California Islands,0,11.8044,9.0,2.0,18.0,11.3447,280023
GEESEBAL,2004-02-01,California Islands,0,21.0411,21.0,13.0,28.0,11.8026,291197
GEESEBAL,2004-03-01,California Islands,0,51.5783,53.0,37.0,67.0,22.6331,293513
GEESEBAL,2004-04-01,California Islands,0,85.3091,90.0,68.0,106.0,28.746,295723
GEESEBAL,2004-05-01,California Islands,0,100.4297,107.0,67.0,138.0,45.7028,295290
GEESEBAL,2004-06-01,California Islands,0,89.8523,98.0,66.0,120.0,37.0923,293339
GEESEBAL,2004-07-01,California Islands,0,109.1333,117.0,87.0,144.0,40.1251,294633
GEESEBAL,2004-08-01,California Islands,0,86.2046,92.0,60.0,116.0,35.0937,293607
GEESEBAL,2004-09-01,California Islands,0,62.4852,60.0,42.0,84.0,29.8354,295610
GEESEBAL,2004-10-01,California Islands,0,40.6616,43.0,30.0,54.0,17.6886,291640
GEESEBAL,2004-11-01,California Islands,0,11.0691,8.0,3.0,18.0,9.952,281349
GEESEBAL,2004-12-01,California Islands,0,19.6249,21.0,5.0,31.0,14.2294,268661
GEESEBAL,2005-01-01,California Islands,0,28.038,30.0,14.0,42.0,16.755,276160
GEESEBAL,2005-02-01,California Islands,0,21.6945,21.0,11.0,31.0,14.2703,284106
GEESEBAL,2005-03-01,California Islands,0,58.3158,63.0,37.0,82.0,28.5096,286058
GEESEBAL,2005-04-01,California Islands,0,80.383,88.0,51.0,113.0,39.632,295782
GEESEBAL,2005-05-01,California Islands,0,97.2986,103.0,70.0,130.0,39.3944,295794
GEESEBAL,2005-06-01,California Islands,0,87.9567,94.0,47.0,131.0,45.445,295393
GEESEBAL,2005-07-01,California Islands,0,127.3535,135.0,117.0,145.0,25.1397,287232
GEESEBAL,2005-08-01,California Islands,0,97.8751,101.0,82.0,119.0,27.7513,295642
GEESEBAL,2005-09-01,California Islands,0,67.3579,68.0,51.0,88.0,26.9665,295953
GEESEBAL,2005-10-01,California Islands,0,24.6211,22.0,11.0,36.0,16.5859,295632
GEESEBAL,2005-11-01,California Islands,0,18.8536,17.0,6.0,29.0,14.9866,286069
GEESEBAL,2005-12-01,California Islands,0,21.9513,23.0,9.0,34.0,15.0149,253957
GEESEBAL,2006-01-01,California Islands,0,15.4773,14.0,7.0,22.0,11.5469,284276
GEESEBAL,2006-02-01,California Islands,0,61.8633,70.0,46.0,83.0,26.745,291214
GEESEBAL,2006-03-01,California Islands,0,48.5295,47.0,37.0,57.0,18.6754,294544
GEESEBAL,2006-04-01,California Islands,0,81.3324,95.0,74.0,103.0,32.2161,268265
GEESEBAL,2006-05-01,California Islands,0,98.1287,108.0,85.0,122.0,30.4604,287199
GEESEBAL,2006-06-01,California Islands,0,113.4519,123.0,97.0,140.0,36.2784,291763
GEESEBAL,2006-07-01,California Islands,0,131.2283,144.0,106.0,164.0,40.2281,290012
GEESEBAL,2006-08-01,California Islands,0,108.0824,120.0,88.0,138.0,35.7836,294036
GEESEBAL,2006-09-01,California Islands,0,76.2005,84.0,61.0,99.0,28.8552,295283
GEESEBAL,2006-10-01,California Islands,0,54.9869,58.0,39.0,73.0,23.8846,291693
GEESEBAL,2006-11-01,California Islands,0,34.77,37.0,17.0,52.0,21.2556,285169
GEESEBAL,2006-12-01,California Islands,0,13.6134,13.0,2.0,22.0,11.1056,280235
GEESEBAL,2007-01-01,California Islands,0,12.1057,9.0,2.0,20.0,11.2142,290737
GEESEBAL,2007-02-01,California Islands,0,17.4877,17.0,6.0,26.0,12.9511,295101
GEESEBAL,2007-03-01,California Islands,0,45.5177,46.0,28.0,63.0,23.8722,295710
GEESEBAL,2007-04-01,California Islands,0,75.9622,80.0,56.0,100.0,29.4905,295937
GEESEBAL,2007-05-01,California Islands,0,99.9327,109.0,84.0,124.0,30.9308,295272
GEESEBAL,2007-06-01,California Islands,0,103.457,112.0,85.0,130.0,32.7744,293971
GEESEBAL,2007-07-01,California Islands,0,118.6853,127.0,105.0,141.0,29.492,290330
GEESEBAL,2007-08-01,California Islands,0,77.0054,76.0,54.0,102.0,33.6628,295108
GEESEBAL,2007-09-01,California Islands,0,70.0439,75.0,50.0,93.0,29.3797,295730
GEESEBAL,2007-10-01,California Islands,0,39.6344,38.0,18.0,59.0,25.1202,269846
GEESEBAL,2007-11-01,California Islands,0,23.9524,20.0,7.0,37.0,20.0951,240049
GEESEBAL,2007-12-01,California Islands,0,13.5962,14.0,4.0,21.0,10.3475,226939
GEESEBAL,2008-01-01,California Islands,0,27.1027,29.0,18.0,37.0,12.5735,225727
GEESEBAL,2008-02-01,California Islands,0,46.6273,51.0,33.0,63.0,20.837,292142
