MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2025-01-01,California Islands,0,26.1068,25.0,13.0,39.0,16.9124,294326
SSEBOP,2025-02-01,California Islands,0,21.7144,21.0,13.0,30.0,12.0513,294316
SSEBOP,2025-03-01,California Islands,0,39.4841,40.0,28.0,51.0,16.5418,294131
SSEBOP,2025-04-01,California Islands,0,46.673,47.0,34.0,60.0,19.204,293792
SSEBOP,2025-05-01,California Islands,0,49.3116,49.0,34.0,64.0,20.8268,293211
SSEBOP,2025-06-01,California Islands,0,37.1533,36.0,25.0,48.0,16.1277,292814
SSEBOP,2025-07-01,California Islands,0,37.5519,36.0,25.0,49.0,16.8604,292505
SSEBOP,2025-08-01,California Islands,0,36.6962,35.0,23.0,49.0,17.6401,293373
SSEBOP,2025-09-01,California Islands,0,32.2673,31.0,20.0,43.0,15.7808,293697
SSEBOP,2025-10-01,California Islands,0,28.2571,28.0,17.0,38.0,14.6435,293833
SSEBOP,2025-11-01,California Islands,0,20.0535,20.0,14.0,26.0,8.4441,294325
SSEBOP,2025-12-01,California Islands,0,25.8384,27.0,19.0,33.0,10.245,292555
SSEBOP,2025-01-01,Central Coast,3,34.3384,35.0,20.0,49.0,19.0814,32368788
SSEBOP,2025-02-01,Central Coast,3,35.2573,36.0,24.0,47.0,16.4571,32366915
SSEBOP,2025-03-01,Central Coast,3,54.4313,56.0,43.0,69.0,19.8257,32366397
SSEBOP,2025-04-01,Central Coast,3,69.9954,74.0,53.0,91.0,28.3639,32362112
SSEBOP,2025-05-01,Central Coast,3,79.3805,84.0,45.0,114.0,45.2496,32357698
SSEBOP,2025-06-01,Central Coast,3,70.541,72.5021,32.504,104.4969,45.8054,32347877
SSEBOP,2025-07-01,Central Coast,3,66.0726,66.5024,30.5021,98.4971,43.647,32333249
SSEBOP,2025-08-01,Central Coast,3,65.5572,64.5005,28.5019,98.4977,43.9716,32360837
SSEBOP,2025-09-01,Central Coast,3,52.3757,52.0,26.0,76.0,31.9018,32366721
SSEBOP,2025-10-01,Central Coast,3,41.7991,41.0,22.0,61.0,24.4506,32368447
SSEBOP,2025-11-01,Central Coast,3,30.2903,31.0,20.0,41.0,14.4149,32366383
SSEBOP,2025-12-01,Central Coast,3,31.351,31.0,23.0,41.0,13.1943,32354798
SSEBOP,2025-01-01,Colorado River,10,9.0468,1.0,0.0,7.0,21.2197,56908613
SSEBOP,2025-02-01,Colorado River,10,9.4572,0.0,0.0,6.0,23.1238,56898548
SSEBOP,2025-03-01,Colorado River,10,13.524,0.0,0.0,9.0,33.5536,56854806
SSEBOP,2025-04-01,Colorado River,10,16.29,0.1034,0.1034,10.4777,41.3582,56880340
SSEBOP,2025-05-01,Colorado River,10,19.1199,0.1008,0.1008,10.483,51.7803,56926947
SSEBOP,2025-06-01,Colorado River,10,18.8684,0.0973,0.0973,10.4814,52.4172,56934026
SSEBOP,2025-07-01,Colorado River,10,18.6329,0.0919,0.0919,10.4806,53.8099,56934077
SSEBOP,2025-08-01,Colorado River,10,16.3982,0.1113,0.1113,8.4759,47.4688,56933717
SSEBOP,2025-09-01,Colorado River,10,14.6643,0.1414,0.1414,10.4768,37.0268,56924057
SSEBOP,2025-10-01,Colorado River,10,13.34,1.0,0.0,13.0,29.2781,56908997
SSEBOP,2025-11-01,Colorado River,10,8.6266,1.0,0.0,8.0,17.9828,56910113
SSEBOP,2025-12-01,Colorado River,10,9.3318,3.0,1.0,11.0,15.7526,56897922
SSEBOP,2025-01-01,North Coast,1,29.9578,31.0,20.0,42.0,14.1047,52957951
SSEBOP,2025-02-01,North Coast,1,28.8233,31.0,20.0,39.0,12.9098,52401629
SSEBOP,2025-03-01,North Coast,1,47.836,51.0,36.0,61.0,17.9737,50340968
SSEBOP,2025-04-01,North Coast,1,71.4287,76.0,55.0,90.0,26.4072,52921154
SSEBOP,2025-05-01,North Coast,1,105.6285,110.0,81.0,134.0,39.7231,55065192
SSEBOP,2025-06-01,North Coast,1,125.1635,132.0,96.0,161.0,47.73,55619354
SSEBOP,2025-07-01,North Coast,1,124.0391,134.0,94.0,161.0,47.829,55694280
SSEBOP,2025-08-01,North Coast,1,119.4088,127.0,87.0,156.0,48.8289,55719260
SSEBOP,2025-09-01,North Coast,1,83.9861,91.0,63.0,110.0,33.2418,55580551
SSEBOP,2025-10-01,North Coast,1,53.4562,56.0,39.0,70.0,21.3266,55519784
SSEBOP,2025-11-01,North Coast,1,26.7883,27.0,20.0,34.0,10.532,55293661
SSEBOP,2025-12-01,North Coast,1,18.9721,18.0,13.0,25.0,8.3834,55362364
SSEBOP,2025-01-01,North Lahontan,8,14.6389,8.0,3.0,22.0,15.2198,12921694
SSEBOP,2025-02-01,North Lahontan,8,18.3008,11.0,4.0,28.0,18.8753,12583534
SSEBOP,2025-03-01,North Lahontan,8,27.5358,18.0,9.0,39.0,26.4495,12352268
SSEBOP,2025-04-01,North Lahontan,8,42.5916,33.0,19.0,58.0,33.8139,14274689
SSEBOP,2025-05-01,North Lahontan,8,66.4715,57.0,36.0,90.0,43.0719,16537799
SSEBOP,2025-06-01,North Lahontan,8,82.2448,73.0,40.0,117.0,55.4044,17455056
SSEBOP,2025-07-01,North Lahontan,8,82.1659,68.4961,34.4978,122.5047,59.8012,17532262
SSEBOP,2025-08-01,North Lahontan,8,69.6262,56.0,27.0,106.0,53.027,17536834
SSEBOP,2025-09-01,North Lahontan,8,51.6411,42.0,20.0,79.0,39.3396,17537838
SSEBOP,2025-10-01,North Lahontan,8,32.4451,27.0,14.0,48.0,23.3149,17188437
SSEBOP,2025-11-01,North Lahontan,8,21.3992,18.0,9.0,32.0,15.8148,17169352
SSEBOP,2025-12-01,North Lahontan,8,17.2717,14.0,6.0,25.0,13.9372,16493650
SSEBOP,2025-01-01,Sacramento River,5,31.8002,32.0,21.0,42.0,15.3546,69890699
SSEBOP,2025-02-01,Sacramento River,5,30.4706,31.0,22.0,39.0,13.3961,69670337
SSEBOP,2025-03-01,Sacramento River,5,47.463,49.0,34.0,62.0,19.888,68274402
SSEBOP,2025-04-01,Sacramento River,5,73.14,76.0,51.0,97.0,31.0706,71595695
SSEBOP,2025-05-01,Sacramento River,5,104.6734,104.0,70.0,141.0,47.8677,76528850
SSEBOP,2025-06-01,Sacramento River,5,113.1865,114.4999,70.5017,158.4989,58.6611,78137442
SSEBOP,2025-07-01,Sacramento River,5,112.6784,114.4997,66.5022,158.4979,60.1084,78267116
SSEBOP,2025-08-01,Sacramento River,5,103.7828,103.0,60.0,148.0,56.7404,78282990
SSEBOP,2025-09-01,Sacramento River,5,77.1901,78.0,45.0,109.0,41.5399,78286659
SSEBOP,2025-10-01,Sacramento River,5,48.4266,49.0,32.0,65.0,22.2031,77678811
SSEBOP,2025-11-01,Sacramento River,5,26.3787,26.0,19.0,33.0,10.9268,77644624
SSEBOP,2025-12-01,Sacramento River,5,17.8696,18.0,13.0,23.0,7.2149,73395463
SSEBOP,2025-01-01,San Francisco Bay,2,32.6908,33.0,22.0,43.0,14.3917,12593057
SSEBOP,2025-02-01,San Francisco Bay,2,34.6351,36.0,26.0,45.0,13.4859,12597536
SSEBOP,2025-03-01,San Francisco Bay,2,57.7185,61.0,45.0,74.0,21.7091,12590113
SSEBOP,2025-04-01,San Francisco Bay,2,79.0423,85.0,62.0,100.0,29.6138,12566221
SSEBOP,2025-05-01,San Francisco Bay,2,102.9738,106.0,69.0,138.0,46.7877,12570906
SSEBOP,2025-06-01,San Francisco Bay,2,92.4845,89.0,52.0,131.0,50.8971,12571783
SSEBOP,2025-07-01,San Francisco Bay,2,86.3907,82.0,46.0,125.0,49.9943,12565301
SSEBOP,2025-08-01,San Francisco Bay,2,89.7443,84.0,48.0,130.0,52.3476,12582282
SSEBOP,2025-09-01,San Francisco Bay,2,65.9242,62.0,34.0,96.0,39.7292,12582678
SSEBOP,2025-10-01,San Francisco Bay,2,46.0419,44.0,26.0,66.0,25.945,12589259
SSEBOP,2025-11-01,San Francisco Bay,2,27.3075,26.0,18.0,37.0,13.1169,12329834
SSEBOP,2025-12-01,San Francisco Bay,2,21.4909,20.0,15.0,28.0,9.6235,12504067
SSEBOP,2025-01-01,San Joaquin River,6,27.0171,26.0,20.0,34.0,11.5167,38625108
SSEBOP,2025-02-01,San Joaquin River,6,34.8623,35.0,28.0,43.0,12.2968,37950442
SSEBOP,2025-03-01,San Joaquin River,6,56.7927,59.0,46.0,70.0,19.9248,36582476
SSEBOP,2025-04-01,San Joaquin River,6,78.0138,83.0,59.0,100.0,32.3789,37550398
SSEBOP,2025-05-01,San Joaquin River,6,93.6044,92.5003,48.5012,136.4986,56.032,40729040
SSEBOP,2025-06-01,San Joaquin River,6,99.4355,98.5,42.5016,152.4989,66.9745,43151461
SSEBOP,2025-07-01,San Joaquin River,6,98.6864,98.5009,40.5015,150.4995,67.0471,43613132
SSEBOP,2025-08-01,San Joaquin River,6,93.7701,90.4979,38.5026,142.4994,64.4751,43759943
SSEBOP,2025-09-01,San Joaquin River,6,67.2155,66.0,31.0,99.0,42.9432,43526146
SSEBOP,2025-10-01,San Joaquin River,6,41.0241,41.0,22.0,58.0,22.9691,43561529
SSEBOP,2025-11-01,San Joaquin River,6,24.8526,25.0,16.0,34.0,13.0999,43009404
SSEBOP,2025-12-01,San Joaquin River,6,21.767,21.0,16.0,28.0,9.2692,32321589
SSEBOP,2025-01-01,South Coast,4,32.1795,29.0,14.0,48.0,22.5092,31343925
SSEBOP,2025-02-01,South Coast,4,29.5243,28.0,14.0,43.0,18.8867,31239104
SSEBOP,2025-03-01,South Coast,4,44.1435,44.0,27.0,60.0,23.0613,31126585
SSEBOP,2025-04-01,South Coast,4,60.6657,62.0,36.0,84.0,31.3667,31235559
SSEBOP,2025-05-01,South Coast,4,69.5072,69.0,37.0,99.0,40.1669,31320874
SSEBOP,2025-06-01,South Coast,4,71.1267,66.4998,34.5012,100.4979,45.3804,31328784
SSEBOP,2025-07-01,South Coast,4,69.2156,64.5001,36.5015,96.4971,44.1173,31338372
SSEBOP,2025-08-01,South Coast,4,65.8813,62.4979,34.5031,92.4961,40.9145,31339145
SSEBOP,2025-09-01,South Coast,4,51.4506,48.0,28.0,72.0,31.2894,31335548
SSEBOP,2025-10-01,South Coast,4,39.2971,37.0,20.0,56.0,24.5972,31311555
SSEBOP,2025-11-01,South Coast,4,28.9057,27.0,16.0,40.0,16.3024,31334025
SSEBOP,2025-12-01,South Coast,4,32.913,33.0,22.0,44.0,15.5769,31285063
SSEBOP,2025-01-01,South Lahontan,9,8.1272,4.0,0.0,10.0,12.6728,74219439
SSEBOP,2025-02-01,South Lahontan,9,8.919,4.0,0.0,11.0,14.1811,73456911
SSEBOP,2025-03-01,South Lahontan,9,12.1317,4.4886,0.152,16.4818,19.1023,73268654
SSEBOP,2025-04-01,South Lahontan,9,13.5761,6.4906,0.1636,16.4774,22.7459,74756884
SSEBOP,2025-05-01,South Lahontan,9,15.8185,6.491,0.148,18.4809,28.8732,75531763
