,NAME,area_acres,max_mask_area_acres,year_month,year,month,timestep,DISALEXI_ET_mean_in,EEMETRIC_ET_mean_in,ENSEMBLE_ET_mean_in,GEESEBAL_ET_mean_in,PTJPL_ET_mean_in,SIMS_ET_mean_in,SSEBOP_ET_mean_in,DISALEXI_ET_acre_ft,EEMETRIC_ET_acre_ft,ENSEMBLE_ET_acre_ft,GEESEBAL_ET_acre_ft,PTJPL_ET_acre_ft,SIMS_ET_acre_ft,SSEBOP_ET_acre_ft
0,Alameda,839693.81,10480.0,2003-10,2003,10.0,month,0.82,1.17,1.11,0.85,1.6,1.06,1.18,719.55,1024.2,967.46,742.25,1395.05,925.58,1032.29
1,Alameda,839693.81,10480.0,2003-11,2003,11.0,month,0.51,0.54,0.64,0.38,1.09,1.25,0.68,441.36,473.1,563.11,336.2,955.08,1088.26,589.68
2,Alameda,839693.81,10480.0,2003-12,2003,12.0,month,0.46,0.8,0.7,0.4,0.9,1.19,0.61,402.4,701.21,613.51,352.27,782.49,1034.89,528.4
3,Alameda,839693.81,10480.0,2004-00,2004,,water_year,18.93,20.36,20.63,19.07,27.66,22.25,18.48,16530.94,17784.9,18019.66,16662.05,24160.98,19423.24,16132.71
4,Alameda,839693.81,10480.0,2004-01,2004,1.0,month,0.86,0.81,0.93,0.81,1.42,1.15,0.77,749.63,711.03,812.85,711.27,1236.98,1004.14,668.2
5,Alameda,839693.81,10480.0,2004-02,2004,2.0,month,1.2,1.17,1.48,1.45,1.93,1.88,1.3,1049.23,1023.21,1295.35,1263.02,1682.76,1640.32,1138.85
6,Alameda,839693.81,10480.0,2004-03,2004,3.0,month,2.75,2.58,2.89,2.64,3.86,3.13,2.81,2402.51,2250.23,2520.29,2308.17,3374.88,2734.79,2455.43
7,Alameda,839693.81,10480.0,2004-04,2004,4.0,month,2.22,2.26,2.68,2.6,3.7,2.97,2.63,1937.4,1971.75,2339.86,2270.89,3233.47,2597.59,2293.42
8,Alameda,839693.81,10480.0,2004-05,2004,5.0,month,2.56,2.42,2.52,2.91,3.65,2.22,1.77,2236.46,2109.53,2199.52,2537.63,3191.01,1937.56,1549.09
9,Alameda,839693.81,10480.0,2004-06,2004,6.0,month,2.48,2.38,2.31,2.27,3.28,2.02,1.76,2165.88,2079.27,2013.41,1983.39,2864.16,1764.48,1533.83
10,Alameda,839693.81,10480.0,2004-07,2004,7.0,month,2.16,2.49,2.21,2.46,2.41,1.98,1.9,1887.38,2171.84,1932.44,2152.45,2103.1,1726.59,1659.33
11,Alameda,839693.81,10480.0,2004-08,2004,8.0,month,1.7,2.29,1.82,1.42,2.18,1.75,1.68,1485.23,2001.29,1591.44,1238.87,1907.43,1526.91,1467.46
12,Alameda,839693.81,10480.0,2004-09,2004,9.0,month,1.21,1.45,1.34,0.88,1.64,1.65,1.39,1053.91,1268.24,1170.42,765.64,1434.57,1442.13,1216.73
13,Alameda,839693.81,10480.0,2004-10,2004,10.0,month,0.94,1.06,1.17,1.15,1.92,1.59,0.94,819.28,924.34,1023.76,1007.86,1674.54,1388.0,821.49
14,Alameda,839693.81,10480.0,2004-11,2004,11.0,month,0.85,0.76,0.95,0.35,1.58,1.37,0.92,738.75,659.59,828.81,305.49,1375.6,1198.55,803.23
15,Alameda,839693.81,10480.0,2004-12,2004,12.0,month,0.66,0.6,0.74,0.4,1.12,0.95,0.71,580.13,520.84,649.82,350.9,979.36,827.92,623.59
16,Alameda,839693.81,10480.0,2005-00,2005,,water_year,23.92,21.25,23.99,22.73,32.14,25.79,20.09,20881.14,18558.35,20954.84,19852.0,28053.95,22514.39,17556.31
17,Alameda,839693.81,10480.0,2005-01,2005,1.0,month,1.02,0.47,0.85,0.39,1.32,1.08,0.73,887.18,410.96,740.04,337.29,1150.18,942.88,641.12
18,Alameda,839693.81,10480.0,2005-02,2005,2.0,month,1.26,0.97,1.33,1.02,2.1,1.63,1.26,1097.89,846.62,1162.39,894.82,1831.61,1419.8,1097.87
19,Alameda,839693.81,10480.0,2005-03,2005,3.0,month,2.84,2.11,2.81,2.73,3.65,3.11,2.45,2483.45,1843.08,2455.86,2385.42,3183.76,2717.25,2140.71
20,Alameda,839693.81,10480.0,2005-04,2005,4.0,month,3.47,2.97,3.37,3.27,4.02,3.63,3.02,3026.08,2594.03,2947.19,2857.36,3507.85,3166.41,2639.26
21,Alameda,839693.81,10480.0,2005-05,2005,5.0,month,3.53,3.62,3.83,4.6,4.89,3.7,2.75,3085.86,3164.42,3345.58,4013.17,4270.92,3229.18,2401.85
