,HR_NAME,area_acres,max_mask_area_acres,year_month,year,month,timestep,DISALEXI_ET_mean_in,EEMETRIC_ET_mean_in,ENSEMBLE_ET_mean_in,GEESEBAL_ET_mean_in,PTJPL_ET_mean_in,SIMS_ET_mean_in,SSEBOP_ET_mean_in,DISALEXI_ET_acre_ft,EEMETRIC_ET_acre_ft,ENSEMBLE_ET_acre_ft,GEESEBAL_ET_acre_ft,PTJPL_ET_acre_ft,SIMS_ET_acre_ft,SSEBOP_ET_acre_ft
0,California Islands,,25.58,2003-10,2003,10.0,month,0.32,0.91,1.43,2.88,3.64,0.41,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,California Islands,,25.58,2003-11,2003,11.0,month,0.9,0.91,0.79,0.48,2.85,1.38,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,California Islands,,25.58,2003-12,2003,12.0,month,0.75,0.26,0.64,0.24,1.86,1.55,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,California Islands,,25.58,2004-00,2004,,water_year,22.650000000000002,13.569999999999999,21.54,29.240000000000002,38.839999999999996,16.99,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,California Islands,,25.58,2004-01,2004,1.0,month,1.1,0.62,1.22,1.15,2.26,1.77,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,California Islands,,25.58,2004-02,2004,2.0,month,1.24,0.52,1.35,1.03,2.6,2.37,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,California Islands,,25.58,2004-03,2004,3.0,month,3.29,2.56,3.03,3.31,3.29,3.16,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,California Islands,,25.58,2004-04,2004,4.0,month,3.57,1.63,2.99,4.59,3.7,2.8,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,California Islands,,25.58,2004-05,2004,5.0,month,3.14,1.0,2.51,3.6,4.63,1.53,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,California Islands,,25.58,2004-06,2004,6.0,month,3.46,1.66,2.32,3.12,3.12,0.69,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,California Islands,,25.58,2004-07,2004,7.0,month,2.64,1.63,2.2,3.34,3.68,0.56,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,California Islands,,25.58,2004-08,2004,8.0,month,0.78,1.1,1.67,3.45,3.66,0.38,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,California Islands,,25.58,2004-09,2004,9.0,month,1.46,0.77,1.39,2.05,3.55,0.39,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,California Islands,,25.58,2004-10,2004,10.0,month,1.43,0.81,1.4,1.9,3.15,1.31,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,California Islands,,25.58,2004-11,2004,11.0,month,1.5,1.08,1.26,0.8,3.15,1.93,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,California Islands,,25.58,2004-12,2004,12.0,month,0.97,0.99,1.28,1.08,2.68,2.09,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,California Islands,,25.58,2005-00,2005,,water_year,29.830000000000002,17.64,26.67,31.689999999999998,41.82,24.379999999999995,18.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,California Islands,,25.58,2005-01,2005,1.0,month,1.33,0.79,1.52,1.29,2.12,2.32,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,California Islands,,25.58,2005-02,2005,2.0,month,1.31,0.56,1.47,0.93,2.26,2.44,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
